0x01900189,GetRomID
0xdffc4901,GetSRAndDisableInterrupt
0xdffc4913,SetSR
0xdffc63ad,CreateTask_low
0xdffc675f,get_self_task_id
0xdffc6791,createsemaphore_low
0xdffc682f,givesemaphore_low
0xdffc6857,takesemaphore_low
0xdffc6d51,get_task_properties
0xdffc6f91,dry_error_printf
0xdffc8ea1,heap_alloc
0xdffc8f5d,heap_free
0xdffc9253,SleepTask
0xdffc9253,SleepTask_FW
0xdffc93a3,CreateTask
0xdffc93a3,CreateTask_FW
0xdffc9597,ExitTask
0xdffc9597,ExitTask_FW
0xdffc95c1,CreateTask_alt
0xdffc96e5,DebugAssert
0xdffc970b,DebugAssert2
0xdffc9715,set_assert_handler
0xdffcb373,task__vBLKTask
0xdffcc85d,CreateEventFlag
0xdffcc897,DeleteEventFlag
0xdffcc8d5,CheckAnyEventFlag
0xdffcc90b,CheckAllEventFlag
0xdffcc941,WaitForAnyEventFlag
0xdffcc9c7,WaitForAllEventFlag
0xdffcca49,SetEventFlag
0xdffcca77,ClearEventFlag
0xdffccaa7,GetEventFlagValue
0xdffccc43,j_GetSRAndDisableInterrupt
0xdffccc47,j_SetSR
0xdffcccb9,CreateMessageQueue
0xdffccd21,DeleteMessageQueue
0xdffccd7d,ReceiveMessageQueue
0xdffcce0f,TryReceiveMessageQueue
0xdffcce59,PostMessageQueue
0xdffccedb,TryPostMessageQueue
0xdffccf11,GetNumberOfPostedMessages
0xdffccf7d,CreateBinarySemaphore
0xdffccfcb,CreateCountingSemaphore_FW
0xdffcd005,DeleteSemaphore
0xdffcd005,DeleteSemaphore_FW
0xdffcd047,TryTakeSemaphore
0xdffcd077,TakeSemaphore
0xdffcd077,TakeSemaphore_FW
0xdffcd0f1,GiveSemaphore
0xdffcd0f1,GiveSemaphore_FW
0xdffcd121,GetSemaphoreValue
0xdffcd181,CreateTaskStrictly
0xdffcd19f,CreateTaskStrictly_alt
0xdffcd1c1,CreateMessageQueueStrictly
0xdffcd1db,CreateEventFlagStrictly
0xdffcd1f5,CreateBinarySemaphoreStrictly
0xdffcd20f,CreateCountingSemaphoreStrictly
0xdffcd229,CreateRecursiveLockStrictly
0xdffcd25d,TakeSemaphoreStrictly
0xdffcd295,PostMessageQueueStrictly
0xdffcd2cd,WaitForAllEventFlagStrictly
0xdffcd2e9,AcquireRecursiveLockStrictly
0xdffcd4c1,time
0xdffcd52b,GetTimeOfSystem_FW
0xdffcd883,LocalTime
0xdffcd991,j_LocalTime
0xdffcf75b,task_DefMarkRomCopyTask
0xdffd0e6b,task_HivShdTask
0xdffd1db1,AcquireRecursiveLock
0xdffd4109,dry_memset
0xdffd4119,dry_memzero
0xdffd415d,bzero
0xdffd4161,memset32
0xdffd41b0,dry_memcpy
0xdffd422d,j_dry_memcpy_bytes
0xdffd4230,dry_memcpy_bytes
0xdffd42e0,dry_memmove_bytes
0xdffd52c9,_log
0xdffd5621,_log10
0xdffd5705,_pow
0xdffd619d,_sqrt,(stubs_entry_2.s)
0xe0020011,exception_handler_Reset
0xe002023d,exception_handler_SupervisorCall
0xe002023f,exception_handler_FIQ
0xe0020241,exception_handler_IRQ
0xe0020361,err_init_task
0xe0020361,init_task_error
0xe002061d,task_Startup
0xe0020807,init_ex_drivers
0xe0021485,exception_handler_UndefinedInstruction
0xe00214af,exception_handler_PrefetchAbort
0xe00214c9,exception_handler_DataAbort
0xe0021b67,dry_panic
0xe0021bab,dry_panic_low
0xe00222d9,task_UartLog
0xe002244f,StartRedirectUART_FW
0xe00224f3,StopRedirectUART_FW
0xe002786d,pvm_init_pool
0xe00278c5,pvm_free
0xe002793b,pvm_malloc
0xe00279c3,pvm_get_largest_free_block_size
0xe0027ad5,fut_flush
0xe0027b91,fopen_low
0xe0027c2f,fclose_low
0xe0027c6d,fread_low
0xe0027d1d,fwrite_low
0xe0027db3,fgets_low
0xe0027e4b,fseek_low
0xe002b1c3,InitializeTestRec_FW
0xe002b213,TerminateTestRec_FW
0xe002b9a5,Initializedccd_FW
0xe002b9a5,InitializeDigicon_FW
0xe002ba37,Terminatedccd_FW
0xe002ba37,TerminateDigicon_FW
0xe002ba83,ExecuteDigicon_FW
0xe002c083,Executedccd_FW
0xe002c0e1,GetdccdImage_FW
0xe002c143,GetdccdFilterValue_FW
0xe002c1cd,j_InitializeTestRec_FW
0xe002c1d1,j_TerminateTestRec_FW
0xe002c1d5,ExecuteTestRec_FW
0xe002c1e1,ExecuteSubCameraTestRec_FW
0xe002c1e5,ExecuteTestRecCF_FW
0xe002c1e5,ExecuteTestRecSD_FW
0xe002c1f3,SetTestRecMasterCxCy_FW
0xe002c21d,SetFactoryWB_FW
0xe002c22d,GetTestRecMasterCxCy_FW
0xe002c257,GetTestRecWhiteCxCy_FW
0xe002c283,ExecuteTestRecWithInteg_FW
0xe002c291,ExecuteTestRecSw1_FW
0xe002c2cb,ExecuteTestRecSw1AF_FW
0xe002c5f3,GetTestRecCrawAddress_FW
0xe002c5f9,CalculateTestRecYUVData_FW
0xe002c609,SetTestRecSkimmingYUV_FW
0xe002c62f,ExecuteTestRecDevelopProcess_FW
0xe002c669,j_Initializedccd_FW
0xe002c669,j_InitializeDigicon_FW
0xe002c66d,j_Terminatedccd_FW
0xe002c66d,j_TerminateDigicon_FW
0xe002c671,j_ExecuteDigicon_FW
0xe002c675,j_Executedccd_FW
0xe002c677,j_GetdccdImage_FW
0xe002c679,j_GetdccdFilterValue_FW
0xe002c67b,ResetRegistNoticeCBR_FW
0xe002c685,RegistFirmScanNoticeCBR_FW
0xe00305ef,SetDefaultNeoRecParameter_FW
0xe0033009,SetDefaultRecParameter_FW
0xe00330bf,SetEFLensLightFalloffCompTestRecParam_FW
0xe00330cf,SetEFLensChromatismCompTestRecParam_FW
0xe00330df,SetEFLensDefaultCompTestRecParam_FW
0xe00330eb,PrintEFLensCompTestRecParam_FW
0xe0033113,SetPictureStyleTypeTestRecParam_FW
0xe003312b,SetPictureStyleSharpnessTestRecParam_FW
0xe0033143,SetPictureStyleContrastTestRecParam_FW
0xe003315d,SetPictureStyleSaturationTestRecParam_FW
0xe0033177,SetPictureStyleColortoneTestRecParam_FW
0xe0033191,SetPictureStyleDefaultTestRecParam_FW
0xe00331a7,PrintPictureStyleTestRecParam_FW
0xe0037879,task_SsStartupTask
0xe00384d9,task_CaptSeq
0xe00384d9,task_CaptSeqTask
0xe003e2b1,task_SsTask
0xe003e7d1,get_canon_mode_list
0xe0041de5,SSFS_CompleteCaptModeChange_FW
0xe0041de5,SSFS_CompleteFileWrite_FW
0xe0041de5,SSFS_CompletePreCapt_FW
0xe0041de5,SSFS_CompleteShootPicture_FW
0xe0041de5,SSFS_CompleteStopDigZoom_FW
0xe0041de5,SSFS_CompleteStopZoom_FW
0xe0041de5,SSFS_CompleteSynchroWrite_FW
0xe0041de5,SSFS_ShootPicture_FW
0xe00452d3,EraseAdjustmentArea_FW
0xe00452fd,DumpAdjMirror_FW
0xe0045315,GetAdjTableVersion_FW
0xe0045335,j_GetAdjTableVersion_FW
0xe0045337,GetAdjTableMapVersion_FW
0xe0045341,GetAdjTableValueVersion_FW
0xe004534b,ShowDefaultAdjTableVersion_FW
0xe00453a7,LoadAdjustmentTable_FW
0xe00453ad,LoadDefectAdjTable_FW
0xe0045601,SaveAdjustmentTable_FW
0xe0045645,SaveDefectAdjTable_FW
0xe0045657,SaveAdjustmentValue_FW
0xe0045679,LoadAdjustmentValue_FW
0xe004568f,PrintAdjTableMap_FW
0xe004575f,RefreshHIVSHDTableMirror_FW
0xe004579f,RefreshDAFTableMirror_FW
0xe004582d,CreateHIVSHDHOffsetTableMirror_FW
0xe004585d,CreateHIVSHDHGainTableMirror_FW
0xe0045895,CreateHIVSHDColorEFMTableMirror_FW
0xe00458dd,CreateDAFShdTableMirror_FW
0xe0045a51,CreateDAFKGTableMirror_FW
0xe0045a81,CreateDAFDarkTableMirror_FW
0xe0045ab1,CreateDAFABBPTableMirror_FW
0xe0045ae9,CreateHIVSHDAllAdjTableMirror_FW
0xe0045b1f,CreateDAFAllAdjTableMirror_FW
0xe0045b51,CreateAdjustmentTableMirror_FW
0xe0045b55,RefreshAdjustmentTableMirror_FW
0xe0045b59,CreateDefectTableMirror_FW
0xe0045b5d,j_CreateHIVSHDHOffsetTableMirror_FW
0xe0045b5f,j_CreateHIVSHDHGainTableMirror_FW
0xe0045b61,CreateHIVSHDVOffsetTableMirror_FW
0xe0045b65,CreateHIVSHDColorEFTableMirror_FW
0xe0045b69,j_CreateHIVSHDColorEFMTableMirror_FW
0xe0045b6b,CreateSAFDefectTableMirror_FW
0xe0045b6f,CreateSAFOffsetPTableMirror_FW
0xe0045b73,CreateSAFOffsetFTableMirror_FW
0xe0045b77,CreateSAFShdTableMirror_FW
0xe0045b7b,CreateSAFKGTableMirror_FW
0xe0045b7f,CreateSAFImgTableMirror_FW
0xe0045b83,CreateAfBpTableMirror_FW
0xe0045b87,j_CreateHIVSHDAllAdjTableMirror_FW
0xe0045b89,CreateSAFAllAdjTableMirror_FW
0xe0045b8d,j_RefreshHIVSHDTableMirror_FW
0xe0045b8f,RefreshSAFTableMirror_FW
0xe0045b93,j_CreateDAFShdTableMirror_FW
0xe0045b95,j_CreateDAFKGTableMirror_FW
0xe0045b97,j_CreateDAFDarkTableMirror_FW
0xe0045b99,j_CreateDAFABBPTableMirror_FW
0xe0045b9b,j_CreateDAFAllAdjTableMirror_FW
0xe0045b9d,j_RefreshDAFTableMirror_FW
0xe0045b9f,RefreshDefectTableMirror_FW
0xe0045ba3,j_CreateUserSettingMirror_FW
0xe0045ba7,PrintAdjKabotanInfo_FW
0xe0045c09,WRITEADJTABLETOFROM_FW
0xe0045c27,j_WRITEADJTABLETOFROM_FW
0xe0045c29,WRITEADJUSTMENTDATATOFROM_FW
0xe0045c45,WRITEUSERSETTINGDATATOFROM_FW
0xe0045f33,GetDCPAdjOffset_FW
0xe00462fb,GetAdjustmentOffset_FW
0xe00462ff,GetProductID_FW
0xe0046311,GetAdjDataAreaAddress_FW
0xe0046315,GetAdjDurianFlagSize_FW
